,0
0,Alaska
1,Hawaii
2,Indiana
3,Iowa
4,Kansas
5,Kentucky
6,Maine
7,Massachusetts
8,Michigan
9,Minnesota
10,Missouri
11,Montana
12,Nebraska
13,Nevada
14,New Jersey
15,New Mexico
16,New York
17,Ohio
18,Oklahoma
19,Vermont
20,Wisconsin
21,Wyoming
